loan_id,borrower_id,loan_amount,loan_term,loan_purpose,credit_score,annual_income,interest_rate,debt_to_income_ratio,employment_length,home_ownership,state,num_credit_lines,total_credit_limit,credit_utilization,delinquencies_last_2yrs,months_since_last_delinquency,application_year_month,default
LOAN_000018,BORR_006094,13487,36,other,743,69370,14.6,22.6,0.8291677558789248,OTHER,IA,12,47960,26.5,0,100.09468832862885,2024-04,0
LOAN_000019,BORR_000322,13625,36,debt_consolidation,684,70115,18.56,9.12,0.03639098363768427,MORTGAGE,AL,10,42918,15.07,0,,2024-07,1
LOAN_000020,BORR_007923,40000,36,home_improvement,686,65743,17.83,30.99,0.4893761571969033,MORTGAGE,AZ,9,40929,26.94,0,,2023-04,0
LOAN_000022,BORR_017024,5790,36,credit_card,820,52840,10.9,22.51,10.216317279850003,MORTGAGE,OR,12,32375,6.31,0,,2023-12,1
LOAN_000023,BORR_015553,9345,60,moving,655,32831,21.25,14.89,1.8897767583595404,OTHER,KY,9,18195,16.4,0,66.30646638698731,2023-09,0
LOAN_000024,BORR_007119,19322,60,small_business,580,28946,27.79,45.0,5.220794650625922,MORTGAGE,MS,8,22228,41.93,0,105.869843597488,2025-12,0
LOAN_000025,BORR_014421,11590,36,debt_consolidation,709,52067,15.65,9.61,3.104126136812952,RENT,IN,7,33096,17.28,0,,2025-08,0
LOAN_000026,BORR_014060,13460,36,other,763,35569,11.92,15.04,3.3697192373590057,MORTGAGE,ND,8,25698,15.96,0,,2023-10,0
LOAN_000027,BORR_008120,10764,36,medical,685,55618,17.05,10.64,1.9312243192147376,RENT,SC,8,27873,32.4,0,,2023-01,0
LOAN_000028,BORR_017055,3267,36,other,663,40507,25.04,6.9,3.0192764102481666,RENT,NJ,5,24816,44.14,0,10.855764461227782,2025-09,0
LOAN_000029,BORR_001649,9054,36,medical,639,58197,21.04,20.25,1.316547655064387,RENT,RI,13,34438,36.62,0,,2025-11,0
LOAN_000030,BORR_001941,12853,36,medical,703,86213,16.66,25.06,8.629625377149564,MORTGAGE,WY,11,54307,47.47,0,18.032038508890057,2025-01,0
LOAN_000031,BORR_015880,5515,36,major_purchase,614,43556,24.25,22.4,2.4230864133147123,RENT,MS,11,33050,3.14,0,,2024-08,0
LOAN_000032,BORR_014675,7409,36,credit_card,680,32040,17.58,12.95,3.7717947854577236,RENT,KY,9,16144,59.29,0,80.83663372868662,2025-04,0
LOAN_000033,BORR_010630,11271,36,credit_card,679,81231,21.7,27.13,3.2732795663976217,OWN,MD,9,61165,44.63,2,,2025-03,0
LOAN_000034,BORR_009443,11320,60,home_improvement,730,71973,15.54,9.86,13.951609450229894,RENT,OK,7,53377,24.63,0,,2025-04,0
LOAN_000035,BORR_010157,16272,36,debt_consolidation,750,64345,13.89,24.08,1.9884319196059066,MORTGAGE,MS,12,28454,17.98,0,56.29540922348475,2023-12,0
LOAN_000036,BORR_011835,11632,36,major_purchase,673,44704,19.47,22.38,2.9775362491611017,OWN,WI,7,28027,27.79,0,63.3901866409748,2023-07,0
LOAN_000037,BORR_001434,15975,36,other,627,27818,25.63,35.89,1.9252056974199763,OWN,CA,15,12689,18.41,0,,2023-07,0
LOAN_000038,BORR_016739,9414,60,small_business,622,62720,23.83,11.35,,RENT,ND,12,30140,28.33,0,19.99039013342333,2024-10,0
LOAN_000041,BORR_008406,15436,36,car,626,50882,25.91,27.96,7.763699289773216,MORTGAGE,SD,8,24990,17.44,0,,2025-06,0
LOAN_000042,BORR_004517,11878,60,moving,812,39378,7.47,21.66,7.922735529456628,OWN,WY,10,28077,12.94,0,77.73946260481367,2024-10,0
LOAN_000043,BORR_000971,8338,60,car,812,75774,9.78,4.84,16.72242774983887,OWN,CO,9,58663,36.07,0,,2025-03,0
LOAN_000044,BORR_014487,13953,60,small_business,649,54450,20.89,19.25,,OWN,AZ,12,33414,63.58,4,,2023-08,0
LOAN_000047,BORR_001669,5372,60,medical,697,34798,19.15,11.54,3.364880145559029,RENT,VT,11,20574,25.57,0,,2023-06,0
LOAN_000048,BORR_013983,12160,60,home_improvement,677,24114,19.22,22.74,3.697084031983921,RENT,FL,17,13580,35.07,0,,2024-10,1
LOAN_000050,BORR_012976,14252,60,credit_card,743,51354,12.66,23.99,0.31862581289139413,OWN,AR,5,26947,67.53,0,,2024-05,0
LOAN_000051,BORR_013698,11313,36,credit_card,646,82354,22.34,27.44,8.008397302053318,MORTGAGE,OR,7,50354,63.99,0,,2025-06,0
LOAN_000052,BORR_011829,11235,36,credit_card,733,33955,16.77,20.33,3.4672546027958218,RENT,CO,14,20423,1.12,0,,2025-12,0
LOAN_000053,BORR_011419,7712,36,debt_consolidation,719,28736,17.19,15.66,5.004176269501222,RENT,KS,17,12746,25.21,1,106.07827973417258,2024-10,0
LOAN_000054,BORR_000960,16146,60,small_business,691,61047,17.51,16.2,0.9089455285333438,MORTGAGE,MO,7,34996,28.24,4,,2024-06,0
LOAN_000055,BORR_015744,16521,36,small_business,673,100790,24.3,30.86,4.0164281468566285,MORTGAGE,OH,7,69039,45.5,0,74.02545524532175,2025-03,1
LOAN_000056,BORR_007864,6590,36,car,642,31293,23.86,28.06,,MORTGAGE,ID,13,18842,7.92,0,22.025794861997174,2023-02,0
LOAN_000057,BORR_009263,19581,36,major_purchase,684,46658,21.21,33.58,7.761215431880766,RENT,LA,12,26218,49.54,0,,2023-07,0
LOAN_000058,BORR_013782,9630,36,medical,670,80708,19.37,8.59,10.063277469454297,MORTGAGE,OK,6,45166,28.12,3,9.417886232719919,2024-07,0
LOAN_000059,BORR_015196,11070,36,major_purchase,732,61774,16.37,7.49,9.235246824747106,MORTGAGE,MN,9,28874,10.23,0,,2023-03,0
LOAN_000060,BORR_005554,33757,36,major_purchase,778,39974,9.8,39.27,2.5340618451333414,MORTGAGE,AK,8,30578,6.53,0,,2025-07,0
LOAN_000061,BORR_008498,29761,36,credit_card,676,65046,20.73,40.23,4.304426217623779,MORTGAGE,WV,5,45367,11.04,0,87.25288030512857,2024-08,0
LOAN_000062,BORR_015059,6481,60,other,716,66963,17.17,11.72,13.080993354781212,MORTGAGE,TN,12,45781,14.49,0,39.347165685438576,2023-12,0
LOAN_000065,BORR_012753,29528,36,car,741,53555,15.83,21.18,1.3034738886199073,RENT,GA,6,29970,47.51,0,,2023-01,0
LOAN_000067,BORR_001024,6392,36,debt_consolidation,680,43874,18.98,27.91,15.080358890454669,OWN,NM,11,27309,47.38,0,,2025-06,0
LOAN_000068,BORR_010121,24741,36,debt_consolidation,677,58831,22.87,39.36,21.97959402469058,MORTGAGE,IL,8,41137,27.09,0,20.605081355996397,2025-10,0
LOAN_000070,BORR_003483,40000,36,major_purchase,694,32006,18.39,45.0,,MORTGAGE,HI,10,15913,47.99,0,63.545409936938505,2024-07,0
LOAN_000072,BORR_004209,13148,36,debt_consolidation,764,31228,12.49,18.25,0.7130197071989529,MORTGAGE,MI,10,14070,51.21,0,69.27803326423059,2025-02,0
LOAN_000073,BORR_008742,15159,36,small_business,663,71028,19.08,9.68,15.927475888388917,RENT,NJ,15,30762,14.03,0,,2025-08,0
LOAN_000074,BORR_014143,10651,36,vacation,775,92119,14.01,24.16,1.583804155540363,OWN,WY,8,69170,34.39,0,,2024-09,0
LOAN_000077,BORR_000980,6054,36,medical,776,32947,13.13,14.27,13.835478891945833,RENT,WA,12,21528,40.92,0,99.9905224962627,2023-04,0
LOAN_000078,BORR_000783,21402,36,home_improvement,632,45873,24.35,33.49,1.1088106009125884,MORTGAGE,ID,15,32960,27.28,0,102.4275713866077,2024-03,0
LOAN_000079,BORR_005713,7820,36,credit_card,702,38985,16.23,17.48,0.47229535606390033,MORTGAGE,NH,10,18900,3.4,2,83.1380045337186,2024-03,0
LOAN_000081,BORR_006600,28524,36,medical,657,56410,21.18,38.33,0.024470080123941942,RENT,CA,10,26590,17.1,0,,2025-11,0
LOAN_000082,BORR_009640,7562,36,car,778,58448,13.98,14.19,0.5586439811522096,RENT,OR,12,38609,25.22,0,,2023-08,0
LOAN_000083,BORR_016830,15055,36,vacation,752,42856,15.67,12.67,,MORTGAGE,OR,8,24799,20.65,0,,2023-06,0
LOAN_000084,BORR_010562,21950,60,debt_consolidation,757,64553,13.22,26.64,,RENT,IN,7,44457,29.48,0,79.53355906928708,2023-12,0
LOAN_000086,BORR_004384,6746,36,other,663,39963,19.81,19.69,,RENT,DE,6,17417,30.63,0,,2023-05,0
LOAN_000087,BORR_002807,14057,60,home_improvement,722,74895,16.51,17.57,0.4392504879463793,RENT,TN,11,43795,39.4,2,,2023-05,0
LOAN_000088,BORR_004195,12336,36,small_business,732,29274,15.63,38.34,8.250693703511043,RENT,UT,12,16253,26.97,5,63.31083644319424,2024-05,0
LOAN_000089,BORR_008648,8457,60,moving,636,167137,24.4,25.32,2.4953641471327783,RENT,CT,10,73159,16.52,0,,2023-03,0
LOAN_000091,BORR_014397,7013,36,major_purchase,724,91741,12.87,17.74,13.530792895311503,OWN,MN,10,46536,50.77,2,,2024-12,0
LOAN_000093,BORR_001346,14631,36,home_improvement,712,53707,16.79,16.06,9.35001040585058,RENT,FL,12,24693,5.08,0,,2023-11,0
LOAN_000094,BORR_011124,15591,36,small_business,694,71286,16.73,31.11,3.7067010086005467,MORTGAGE,AR,8,42260,8.7,0,6.061290327483092,2023-10,0
LOAN_000095,BORR_010673,23513,36,medical,612,76577,22.57,31.46,20.97854885497995,RENT,NM,12,38794,27.15,0,59.41881313543443,2025-10,0
LOAN_000096,BORR_013455,11848,36,credit_card,746,58222,15.91,30.52,6.541858173071017,RENT,NJ,9,41936,51.34,0,85.99277922224915,2025-12,0
LOAN_000097,BORR_012001,3634,36,debt_consolidation,808,76539,8.02,19.83,1.1185973400445046,RENT,IA,10,38847,63.27,0,71.32261272042727,2023-06,0
LOAN_000098,BORR_016621,11010,36,credit_card,683,23943,19.91,36.71,,RENT,WI,10,12725,26.92,2,36.843814670458286,2025-01,1
LOAN_000099,BORR_000119,19203,60,credit_card,669,51632,21.68,33.04,5.504657297196667,RENT,NJ,7,36184,17.38,0,,2024-10,0
LOAN_000101,BORR_002309,12476,36,debt_consolidation,734,75474,11.85,22.97,6.935078745777429,OTHER,DE,10,37149,15.76,0,24.38140156013054,2025-01,0
LOAN_000103,BORR_009013,18564,60,credit_card,737,54193,16.74,13.79,7.793003750719858,RENT,AR,10,38531,29.67,0,84.98606731798148,2024-10,0
LOAN_000104,BORR_002770,5468,36,home_improvement,704,33894,18.9,21.1,1.1036134854924697,RENT,FL,7,23896,28.28,0,78.0277958283945,2025-06,0
LOAN_000105,BORR_000712,13235,60,other,599,20000,24.04,45.0,3.908488757437334,MORTGAGE,WY,14,11439,32.95,0,9.73727128331237,2023-11,0
LOAN_000106,BORR_010186,12117,60,major_purchase,668,75412,21.94,10.68,8.220651973451725,OWN,NH,11,50598,38.99,2,,2024-02,0
LOAN_000107,BORR_014615,13871,60,debt_consolidation,699,62390,15.7,22.57,1.9657841897830355,RENT,SD,11,29459,12.77,0,16.477418582034574,2024-03,0
LOAN_000108,BORR_008947,4989,36,small_business,675,56277,24.32,5.26,8.23598077355705,OWN,IN,11,36760,19.56,0,,2025-09,0
LOAN_000109,BORR_000545,25888,36,credit_card,715,21331,14.91,45.0,,MORTGAGE,CT,9,9446,8.42,0,,2024-03,0
LOAN_000111,BORR_007851,16522,36,debt_consolidation,659,21535,19.83,34.71,0.34751072479758816,MORTGAGE,CO,8,10817,47.75,0,,2024-01,0
LOAN_000116,BORR_007610,18721,36,debt_consolidation,736,42482,14.09,34.36,3.4518000979391674,MORTGAGE,MI,12,23064,19.57,0,29.435749641649,2024-10,0
LOAN_000117,BORR_008718,13743,36,credit_card,697,40109,17.51,27.16,,RENT,IN,11,18686,38.29,0,,2023-11,0
LOAN_000119,BORR_001570,8708,36,debt_consolidation,651,92228,21.1,13.03,2.3886488908612677,RENT,MD,10,45005,9.26,0,,2024-11,0
LOAN_000121,BORR_001559,20323,36,credit_card,614,108932,25.08,24.48,2.807752860831207,MORTGAGE,OR,11,62568,27.88,0,78.48310663016119,2025-05,0
LOAN_000122,BORR_002991,13966,36,car,690,48477,19.03,31.15,4.141727535066376,RENT,NH,15,29787,41.57,0,,2025-07,0
LOAN_000123,BORR_005439,15766,36,home_improvement,721,132650,16.36,8.67,,MORTGAGE,NY,10,66072,24.52,0,91.37252963285438,2025-02,0
LOAN_000124,BORR_007325,8193,36,home_improvement,732,81333,12.19,25.15,6.563203935909874,OTHER,CO,15,37687,17.74,0,79.11435134193219,2025-05,0
LOAN_000125,BORR_000300,11457,36,credit_card,668,48198,23.41,22.34,2.8622483830602925,OWN,CT,23,20844,28.76,0,26.387280384677716,2024-03,0
LOAN_000126,BORR_005666,17828,36,small_business,628,32508,24.5,34.79,,RENT,CA,11,18232,50.28,0,,2025-02,0
LOAN_000130,BORR_007757,5148,36,debt_consolidation,668,120670,18.26,25.26,3.8387285620125255,RENT,VT,11,78095,1.97,0,60.593061767520076,2023-06,1
LOAN_000132,BORR_003211,32476,36,home_improvement,772,39285,10.09,35.5,2.865415038785573,OWN,WI,7,27339,11.07,0,36.3418646600089,2023-10,0
LOAN_000133,BORR_009548,11065,36,debt_consolidation,663,40141,21.47,31.0,8.516939691150714,MORTGAGE,WA,4,30208,30.05,0,,2024-08,0
LOAN_000134,BORR_010366,7171,60,debt_consolidation,819,61419,11.21,11.19,6.960928649014184,MORTGAGE,AR,9,38893,57.18,2,116.98954847428523,2024-05,0
LOAN_000135,BORR_007270,10997,60,credit_card,668,39303,20.89,13.49,1.849519709160797,RENT,WI,5,25605,19.58,0,,2025-01,0
LOAN_000136,BORR_001975,6257,36,debt_consolidation,664,61224,21.66,15.61,3.3545443164490534,RENT,VA,11,32227,26.14,0,13.961334896504935,2025-01,0
LOAN_000137,BORR_014090,14955,36,home_improvement,655,37384,20.55,32.75,11.883386367160295,RENT,TX,9,17690,17.37,0,,2024-11,0
LOAN_000138,BORR_015232,12876,36,car,649,34308,21.38,20.69,2.0889366491475223,RENT,AL,14,19084,14.1,0,111.27089693464838,2024-01,0
LOAN_000140,BORR_011656,12511,36,vacation,668,77560,21.28,29.19,0.5621009026920828,MORTGAGE,LA,11,54870,27.25,0,51.45817165641499,2025-11,0
LOAN_000142,BORR_000730,16734,36,small_business,673,62389,19.95,14.26,0.6807950682922779,MORTGAGE,ID,12,28426,35.45,0,23.624404351472492,2023-12,0
LOAN_000143,BORR_001298,7340,36,credit_card,755,115981,13.66,22.48,4.498985156608369,MORTGAGE,NC,12,68170,20.91,0,,2025-12,0
LOAN_000144,BORR_006956,15883,36,moving,580,37979,27.9,31.08,1.6552386556515923,OWN,NY,8,24275,41.05,0,,2023-06,0
LOAN_000150,BORR_002936,19909,60,debt_consolidation,803,75625,10.32,21.23,3.2578771337551062,RENT,PA,10,58725,24.99,0,50.187622796792986,2023-09,0
LOAN_000151,BORR_000112,11955,60,debt_consolidation,654,81333,21.9,20.08,0.044596130976713846,MORTGAGE,MT,5,37360,30.96,1,93.32406065241811,2025-09,0
LOAN_000152,BORR_000878,22151,36,debt_consolidation,622,84539,24.73,28.62,6.120420546912068,MORTGAGE,IN,8,64066,15.38,0,77.7535264364109,2023-04,0
LOAN_000153,BORR_017075,8846,36,moving,599,55719,25.37,9.58,3.468393315073792,OWN,MI,8,27428,32.6,0,38.48504356812992,2023-07,0
LOAN_000154,BORR_010989,13299,60,other,608,41564,23.0,30.9,7.568071704086864,OWN,VA,5,27661,6.01,0,,2024-07,1
LOAN_000158,BORR_004687,17507,36,credit_card,669,71833,21.31,15.22,21.482267625731385,MORTGAGE,HI,8,31834,24.59,0,72.18078987992297,2023-12,0
LOAN_000159,BORR_004418,17082,36,home_improvement,654,44491,22.8,19.78,10.231730667617963,MORTGAGE,VT,11,28284,59.86,2,,2024-08,0
LOAN_000160,BORR_008431,12764,36,moving,666,35959,20.9,21.24,6.047092864106554,OWN,MT,6,16270,29.39,0,70.6339865756772,2025-05,0
LOAN_000161,BORR_007982,6381,60,debt_consolidation,726,20194,17.85,25.7,1.638558079995048,RENT,CO,13,12657,28.02,0,111.68552129001846,2024-08,0
LOAN_000162,BORR_017073,21939,36,other,732,112356,11.7,21.82,15.223914419076365,MORTGAGE,AR,11,56270,22.46,0,14.531779175844251,2024-11,0
LOAN_000163,BORR_002629,13105,36,home_improvement,759,20000,13.45,45.0,1.5253592899524158,MORTGAGE,NM,10,13035,17.33,0,,2024-04,1
LOAN_000168,BORR_002186,9866,36,debt_consolidation,724,81228,16.73,6.16,0.9231457360486521,RENT,NV,9,57846,18.78,0,,2025-09,0
LOAN_000169,BORR_003345,6119,36,vacation,694,22286,16.13,22.33,3.648829987022284,RENT,IN,11,16389,44.76,0,,2024-05,0
LOAN_000172,BORR_010634,14221,36,credit_card,613,40958,26.47,32.96,,RENT,RI,6,29838,28.42,0,,2023-11,0
LOAN_000174,BORR_004286,21733,60,credit_card,689,59927,19.4,34.55,2.3398693868125524,MORTGAGE,OR,10,35396,25.74,0,,2023-08,0
LOAN_000175,BORR_003933,14487,36,moving,650,76201,18.73,6.99,0.29736114583924644,RENT,WA,11,35657,25.89,0,,2024-03,0
LOAN_000176,BORR_016512,24334,36,medical,717,34904,18.26,41.41,0.281891258686707,RENT,AR,7,21088,26.1,2,99.1171264123141,2025-05,0
LOAN_000178,BORR_011363,9931,36,other,748,64819,16.27,26.56,6.055712265050996,MORTGAGE,AR,14,46923,25.74,0,,2025-05,0
LOAN_000179,BORR_006072,6534,36,home_improvement,757,97083,11.14,14.68,0.923814051111209,MORTGAGE,TX,12,47299,52.77,0,72.70520107984107,2024-09,0
LOAN_000180,BORR_015020,18859,60,debt_consolidation,640,43383,22.96,23.58,8.01432594188386,RENT,RI,13,26947,7.9,0,93.79031401767764,2025-10,0
LOAN_000181,BORR_007543,15698,60,major_purchase,648,63544,19.46,19.72,13.575492524839838,OWN,CT,11,33138,15.96,0,,2025-11,0
LOAN_000185,BORR_000848,14381,60,small_business,704,31198,16.19,37.62,7.665224752240517,RENT,MA,11,16988,22.34,0,,2025-02,0
LOAN_000186,BORR_010791,21997,36,credit_card,783,45739,14.09,35.43,4.6711234828726935,RENT,UT,7,31260,2.23,0,,2025-12,0
LOAN_000187,BORR_005722,22622,60,home_improvement,706,47108,17.55,17.69,5.635942400321017,RENT,IL,13,28352,10.65,0,,2025-04,0
LOAN_000188,BORR_000812,19839,36,credit_card,755,21576,15.98,41.65,7.239725173022409,RENT,AZ,8,12013,24.61,0,46.27044584179153,2025-07,1
LOAN_000192,BORR_005434,10999,36,debt_consolidation,716,30399,15.35,22.96,1.477693927541257,OWN,AR,7,16495,23.95,0,,2025-02,0
LOAN_000194,BORR_000936,11228,36,credit_card,714,37926,14.11,31.17,1.4203065613877057,MORTGAGE,ID,9,28157,70.6,0,43.79564037951369,2024-05,0
LOAN_000195,BORR_009965,16637,36,other,706,29351,17.44,45.0,10.256717978457608,MORTGAGE,MN,10,21602,18.44,0,115.3157855463656,2025-03,0
LOAN_000196,BORR_001692,6044,36,debt_consolidation,634,81875,20.06,17.3,2.110458447792727,RENT,MI,12,48513,7.22,0,,2023-12,0
LOAN_000197,BORR_004216,8291,36,debt_consolidation,719,46376,16.9,11.75,9.136341588970788,RENT,TN,11,29012,70.31,1,91.59867170407094,2025-01,0
LOAN_000198,BORR_007459,10575,36,credit_card,672,20000,16.9,30.18,4.4171475923337535,OWN,MI,10,12804,22.55,0,,2025-11,0
LOAN_000199,BORR_010527,9066,36,debt_consolidation,690,50947,20.04,31.01,3.7848395755299697,RENT,OR,10,27173,25.58,0,,2024-11,0
LOAN_000200,BORR_013484,8699,36,major_purchase,658,33570,23.12,29.25,5.684516651643041,MORTGAGE,AR,12,20957,12.27,0,,2024-12,0
LOAN_000201,BORR_003792,23442,60,credit_card,742,23849,14.87,45.0,0.5615594810958315,MORTGAGE,ND,8,17616,24.24,0,81.87309630600915,2024-02,0
LOAN_000202,BORR_010266,5852,60,medical,618,40221,24.08,21.61,3.3465190427984446,RENT,AL,9,29464,26.74,0,100.66445108383098,2024-03,0
LOAN_000203,BORR_000221,14584,36,home_improvement,677,30320,20.21,24.27,6.270094747219549,MORTGAGE,IL,7,19678,22.32,0,,2023-12,0
LOAN_000204,BORR_013757,17318,60,credit_card,766,30604,12.72,32.26,4.143290364882252,OWN,AZ,9,13859,22.91,0,,2023-07,0
LOAN_000205,BORR_002693,10487,36,credit_card,762,54063,12.49,22.06,17.849378327120238,MORTGAGE,OK,9,25983,15.71,0,85.99802481305169,2024-09,0
LOAN_000207,BORR_003107,13091,36,credit_card,591,20000,28.0,32.06,10.780375641990002,RENT,IA,14,14701,60.23,0,50.71160708286517,2025-08,0
LOAN_000208,BORR_011480,18345,36,debt_consolidation,789,85013,12.54,27.24,,RENT,MA,12,50983,10.27,0,31.126473997660668,2024-03,0
LOAN_000209,BORR_002745,28719,36,car,684,45564,19.15,34.13,2.5058582062964967,OWN,RI,9,34013,3.89,0,74.12696708683073,2025-04,0
LOAN_000210,BORR_001604,7028,60,home_improvement,670,114556,22.64,10.66,12.903983215971405,MORTGAGE,TN,7,59009,26.99,1,,2024-07,0
LOAN_000212,BORR_014863,8664,36,credit_card,713,20000,15.58,35.51,2.481111485668919,RENT,ND,8,11145,31.94,0,68.0417622644176,2024-12,0
LOAN_000213,BORR_006213,13276,60,home_improvement,686,56304,20.05,10.86,4.744278544578259,RENT,AL,11,29198,46.96,0,26.62750516932475,2025-07,0
LOAN_000214,BORR_001092,10939,36,moving,705,67711,17.28,23.16,,MORTGAGE,MT,7,34250,67.17,0,,2024-01,0
LOAN_000215,BORR_011884,18642,36,car,720,31819,14.07,38.54,0.7583439418960464,RENT,NY,7,22418,39.95,0,,2023-01,0
LOAN_000216,BORR_004311,9621,60,home_improvement,625,78707,25.73,7.37,5.4403146168063845,OWN,NJ,11,51719,30.59,0,,2023-11,0
LOAN_000217,BORR_007012,8568,60,home_improvement,663,70134,22.32,7.37,3.1704626811591297,OWN,AL,14,35547,18.52,0,61.272596422909345,2023-05,0
LOAN_000218,BORR_000351,9121,60,debt_consolidation,745,43663,17.26,14.12,12.878495088541069,RENT,WY,7,30188,39.61,0,20.400683431004534,2023-05,0
LOAN_000219,BORR_012782,14155,36,major_purchase,779,48301,11.93,17.69,2.218546377463925,RENT,IN,13,35194,53.08,0,93.98237141091909,2025-04,0
LOAN_000222,BORR_013215,10106,60,credit_card,748,87854,11.78,23.48,3.968772474974358,OWN,VT,8,45247,37.66,0,,2023-02,0
LOAN_000223,BORR_009540,7978,36,debt_consolidation,657,41160,21.44,12.14,1.0909761163335507,MORTGAGE,OR,7,24779,23.65,0,73.04277263726439,2025-04,0
LOAN_000224,BORR_000218,27745,60,car,671,59424,18.82,27.43,19.705546669578982,OTHER,IL,9,39937,30.74,0,88.63196000197152,2024-10,0
LOAN_000225,BORR_004813,5538,60,debt_consolidation,638,71758,23.91,25.05,,MORTGAGE,OH,10,33581,14.5,0,,2025-01,0
LOAN_000226,BORR_003357,12172,36,major_purchase,685,132490,20.08,13.88,6.080660389535249,RENT,UT,8,56033,19.28,1,58.198578792590496,2023-10,0
LOAN_000228,BORR_011043,12089,36,major_purchase,768,24580,8.39,28.5,2.6464253563031344,RENT,NY,9,11662,29.44,0,,2023-10,0
LOAN_000229,BORR_001453,10065,36,small_business,626,41768,23.33,11.26,3.7415612040865316,OWN,IN,10,31434,2.96,0,108.10571514050673,2023-11,0
LOAN_000230,BORR_012932,17462,36,major_purchase,739,83140,16.44,14.85,,MORTGAGE,MN,11,42126,5.92,0,3.502244093085812,2024-09,0
LOAN_000231,BORR_002740,7731,36,small_business,797,21558,8.53,16.36,5.029179783446908,RENT,KS,9,9400,21.96,0,,2023-02,0
LOAN_000232,BORR_000814,5594,36,credit_card,683,60012,17.54,27.62,2.62749978683912,RENT,NE,15,40804,32.95,0,,2025-01,0
LOAN_000233,BORR_005886,15939,36,small_business,791,32302,6.67,23.14,5.354002171658907,RENT,KS,6,20910,15.23,0,25.848713772668173,2025-06,0
LOAN_000234,BORR_002973,8122,36,debt_consolidation,612,37686,26.15,28.73,4.361815884376668,RENT,WA,5,22982,32.96,0,77.25420767091856,2024-04,0
LOAN_000235,BORR_001182,14269,36,credit_card,779,46395,8.62,29.91,0.6563115223012457,MORTGAGE,NH,13,24494,14.73,0,48.55001075458059,2025-12,0
LOAN_000237,BORR_001947,15222,36,small_business,704,24652,19.14,24.8,1.483746524127863,MORTGAGE,WI,6,10925,22.57,2,80.02853512467551,2025-12,0
LOAN_000239,BORR_012480,17601,36,credit_card,728,50293,16.81,37.44,0.07052093455272238,MORTGAGE,NH,15,31667,18.32,0,92.73402866654449,2025-07,0
LOAN_000240,BORR_017826,9397,36,debt_consolidation,821,88231,7.77,27.28,,MORTGAGE,TN,9,51777,52.31,0,,2025-12,0
LOAN_000242,BORR_001006,7267,36,small_business,613,92776,23.98,27.39,1.9762278607068293,MORTGAGE,FL,8,49476,36.79,0,,2025-02,1
LOAN_000243,BORR_000325,24012,60,moving,677,26070,19.13,45.0,0.8863509742646914,RENT,MO,7,12266,7.53,0,74.57731051265846,2024-09,0
LOAN_000244,BORR_008645,37265,36,debt_consolidation,754,41995,11.89,45.0,2.551704263219233,RENT,ME,7,23091,13.37,1,10.335020321455202,2023-12,0
LOAN_000246,BORR_015725,29277,36,moving,850,80642,5.78,34.02,1.9756711214706764,OWN,AK,7,39584,40.05,1,,2023-02,0
LOAN_000248,BORR_010680,11379,36,home_improvement,782,56561,8.16,25.81,2.9737670854636993,RENT,MT,9,38087,39.74,0,,2025-12,0
